gene_ids,Malignant,MG/Mp,ILC/gdT,CD4,Oligodendrocytes,Treg,CD8,DC,etc.,Neutrophils
ENSG00000116663,0.04973031,0.02591079,0.07118991,0.02818979,0.0072352113,0.10625299,0.05657657,0.019952353,0.053409293,0.07172587
ENSG00000116670,0.35967895,0.04818754,0.07446916,0.0633138,0.14738819,0.062579334,0.039864708,0.015248633,0.027877651,0.14285433
ENSG00000162490,0.186063,0.0016223048,0.023821581,0.0023622029,0.004840156,0.03978309,0.006035606,0.015184302,0.027222523,0.011399257
ENSG00000177674,0.104187034,0.098928146,0.11529328,0.055030476,0.08840043,0.1796804,0.10452312,0.03966533,0.08409831,0.9821133
ENSG00000215910,0.012049308,0.0033317932,0.0126055265,0.002330226,0.0023163669,0.08247663,0.0031278378,0.11110543,0.06035717,0.038919583
ENSG00000177000,0.042077657,0.25595376,0.020433035,0.016569125,0.054595836,0.12278406,0.027345851,0.22195417,0.05395202,0.21647337
ENSG00000011021,0.04510017,0.08712126,0.018419575,0.0069365087,0.13718021,0.019348478,0.009222348,0.12233391,0.05140213,0.11226652
ENSG00000242349,0.0040884907,0.013309836,0.01032382,0.0019947924,0.0024998803,0.043971892,0.005533524,0.06655024,0.026679514,0.024187278
ENSG00000175206,0.10466752,0.0013404854,0.0075303838,0.0020234538,0.0010539838,0.056774415,0.0020643892,0.058972143,0.025519682,0.01699941
ENSG00000116685,0.10952225,0.05825618,0.025808783,0.015898624,0.14799713,0.033559237,0.025326839,0.049178198,0.031082358,0.075369984
ENSG00000083444,0.12036905,0.02977566,0.017301876,0.003565877,0.07583886,0.021170873,0.005147066,0.025087738,0.01695566,0.079950005
ENSG00000116688,0.07907005,0.042376637,0.041794144,0.017301047,0.10208617,0.030969832,0.027714653,0.043710995,0.0143701825,0.051795937
ENSG00000116691,0.074631095,0.03969579,0.025195673,0.035709552,0.04840787,0.11276056,0.043538384,0.05144836,0.04010467,0.06982649
